 Both 128K ROMs loaded successfully!
Screen RAM initialized with white paper, black ink
=== Emulator started - ROM loaded - CPU Reset ===
[72] PC=0x0005 A=0x7B HL=0x0000 BC=0x6919 DE=0x0000 SP=0xFFFF OP=0x78
[73] PC=0x0006 A=0x69 HL=0x0000 BC=0x6919 DE=0x0000 SP=0xFFFF OP=0xB1
[74] PC=0x0007 A=0x79 HL=0x0000 BC=0x6919 DE=0x0000 SP=0xFFFF OP=0x20
[75] PC=0x0004 A=0x79 HL=0x0000 BC=0x6919 DE=0x0000 SP=0xFFFF OP=0x0B
[76] PC=0x0005 A=0x79 HL=0x0000 BC=0x6918 DE=0x0000 SP=0xFFFF OP=0x78
[77] PC=0x0006 A=0x69 HL=0x0000 BC=0x6918 DE=0x0000 SP=0xFFFF OP=0xB1
[78] PC=0x0007 A=0x79 HL=0x0000 BC=0x6918 DE=0x0000 SP=0xFFFF OP=0x20
[79] PC=0x0004 A=0x79 HL=0x0000 BC=0x6918 DE=0x0000 SP=0xFFFF OP=0x0B
[80] PC=0x0005 A=0x79 HL=0x0000 BC=0x6917 DE=0x0000 SP=0xFFFF OP=0x78
[81] PC=0x0006 A=0x69 HL=0x0000 BC=0x6917 DE=0x0000 SP=0xFFFF OP=0xB1
[82] PC=0x0007 A=0x7F HL=0x0000 BC=0x6917 DE=0x0000 SP=0xFFFF OP=0x20
[83] PC=0x0004 A=0x7F HL=0x0000 BC=0x6917 DE=0x0000 SP=0xFFFF OP=0x0B
[84] PC=0x0005 A=0x7F HL=0x0000 BC=0x6916 DE=0x0000 SP=0xFFFF OP=0x78
[85] PC=0x0006 A=0x69 HL=0x0000 BC=0x6916 DE=0x0000 SP=0xFFFF OP=0xB1
[86] PC=0x0007 A=0x7F HL=0x0000 BC=0x6916 DE=0x0000 SP=0xFFFF OP=0x20
[87] PC=0x0004 A=0x7F HL=0x0000 BC=0x6916 DE=0x0000 SP=0xFFFF OP=0x0B
[88] PC=0x0005 A=0x7F HL=0x0000 BC=0x6915 DE=0x0000 SP=0xFFFF OP=0x78
[89] PC=0x0006 A=0x69 HL=0x0000 BC=0x6915 DE=0x0000 SP=0xFFFF OP=0xB1
[90] PC=0x0007 A=0x7D HL=0x0000 BC=0x6915 DE=0x0000 SP=0xFFFF OP=0x20
[91] PC=0x0004 A=0x7D HL=0x0000 BC=0x6915 DE=0x0000 SP=0xFFFF OP=0x0B
[92] PC=0x0005 A=0x7D HL=0x0000 BC=0x6914 DE=0x0000 SP=0xFFFF OP=0x78
[93] PC=0x0006 A=0x69 HL=0x0000 BC=0x6914 DE=0x0000 SP=0xFFFF OP=0xB1
[94] PC=0x0007 A=0x7D HL=0x0000 BC=0x6914 DE=0x0000 SP=0xFFFF OP=0x20
[95] PC=0x0004 A=0x7D HL=0x0000 BC=0x6914 DE=0x0000 SP=0xFFFF OP=0x0B
[96] PC=0x0005 A=0x7D HL=0x0000 BC=0x6913 DE=0x0000 SP=0xFFFF OP=0x78
[97] PC=0x0006 A=0x69 HL=0x0000 BC=0x6913 DE=0x0000 SP=0xFFFF OP=0xB1
[98] PC=0x0007 A=0x7B HL=0x0000 BC=0x6913 DE=0x0000 SP=0xFFFF OP=0x20
[99] PC=0x0004 A=0x7B HL=0x0000 BC=0x6913 DE=0x0000 SP=0xFFFF OP=0x0B
[100] PC=0x0005 A=0x7B HL=0x0000 BC=0x6912 DE=0x0000 SP=0xFFFF OP=0x78
[101] PC=0x0006 A=0x69 HL=0x0000 BC=0x6912 DE=0x0000 SP=0xFFFF OP=0xB1
[102] PC=0x0007 A=0x7B HL=0x0000 BC=0x6912 DE=0x0000 SP=0xFFFF OP=0x20
[103] PC=0x0004 A=0x7B HL=0x0000 BC=0x6912 DE=0x0000 SP=0xFFFF OP=0x0B
[104] PC=0x0005 A=0x7B HL=0x0000 BC=0x6911 DE=0x0000 SP=0xFFFF OP=0x78
[105] PC=0x0006 A=0x69 HL=0x0000 BC=0x6911 DE=0x0000 SP=0xFFFF OP=0xB1
[106] PC=0x0007 A=0x79 HL=0x0000 BC=0x6911 DE=0x0000 SP=0xFFFF OP=0x20
[107] PC=0x0004 A=0x79 HL=0x0000 BC=0x6911 DE=0x0000 SP=0xFFFF OP=0x0B
[108] PC=0x0005 A=0x79 HL=0x0000 BC=0x6910 DE=0x0000 SP=0xFFFF OP=0x78
[109] PC=0x0006 A=0x69 HL=0x0000 BC=0x6910 DE=0x0000 SP=0xFFFF OP=0xB1
[110] PC=0x0007 A=0x79 HL=0x0000 BC=0x6910 DE=0x0000 SP=0xFFFF OP=0x20
[111] PC=0x0004 A=0x79 HL=0x0000 BC=0x6910 DE=0x0000 SP=0xFFFF OP=0x0B
[112] PC=0x0005 A=0x79 HL=0x0000 BC=0x690F DE=0x0000 SP=0xFFFF OP=0x78
[113] PC=0x0006 A=0x69 HL=0x0000 BC=0x690F DE=0x0000 SP=0xFFFF OP=0xB1
[114] PC=0x0007 A=0x6F HL=0x0000 BC=0x690F DE=0x0000 SP=0xFFFF OP=0x20
[115] PC=0x0004 A=0x6F HL=0x0000 BC=0x690F DE=0x0000 SP=0xFFFF OP=0x0B
[116] PC=0x0005 A=0x6F HL=0x0000 BC=0x690E DE=0x0000 SP=0xFFFF OP=0x78
[117] PC=0x0006 A=0x69 HL=0x0000 BC=0x690E DE=0x0000 SP=0xFFFF OP=0xB1
[118] PC=0x0007 A=0x6F HL=0x0000 BC=0x690E DE=0x0000 SP=0xFFFF OP=0x20
[119] PC=0x0004 A=0x6F HL=0x0000 BC=0x690E DE=0x0000 SP=0xFFFF OP=0x0B
[120] PC=0x0005 A=0x6F HL=0x0000 BC=0x690D DE=0x0000 SP=0xFFFF OP=0x78
[121] PC=0x0006 A=0x69 HL=0x0000 BC=0x690D DE=0x0000 SP=0xFFFF OP=0xB1
[122] PC=0x0007 A=0x6D HL=0x0000 BC=0x690D DE=0x0000 SP=0xFFFF OP=0x20
[123] PC=0x0004 A=0x6D HL=0x0000 BC=0x690D DE=0x0000 SP=0xFFFF OP=0x0B
[124] PC=0x0005 A=0x6D HL=0x0000 BC=0x690C DE=0x0000 SP=0xFFFF OP=0x78
[125] PC=0x0006 A=0x69 HL=0x0000 BC=0x690C DE=0x0000 SP=0xFFFF OP=0xB1
[126] PC=0x0007 A=0x6D HL=0x0000 BC=0x690C DE=0x0000 SP=0xFFFF OP=0x20
[127] PC=0x0004 A=0x6D HL=0x0000 BC=0x690C DE=0x0000 SP=0xFFFF OP=0x0B
[128] PC=0x0005 A=0x6D HL=0x0000 BC=0x690B DE=0x0000 SP=0xFFFF OP=0x78
[129] PC=0x0006 A=0x69 HL=0x0000 BC=0x690B DE=0x0000 SP=0xFFFF OP=0xB1
[130] PC=0x0007 A=0x6B HL=0x0000 BC=0x690B DE=0x0000 SP=0xFFFF OP=0x20
[131] PC=0x0004 A=0x6B HL=0x0000 BC=0x690B DE=0x0000 SP=0xFFFF OP=0x0B
[132] PC=0x0005 A=0x6B HL=0x0000 BC=0x690A DE=0x0000 SP=0xFFFF OP=0x78
[133] PC=0x0006 A=0x69 HL=0x0000 BC=0x690A DE=0x0000 SP=0xFFFF OP=0xB1
[134] PC=0x0007 A=0x6B HL=0x0000 BC=0x690A DE=0x0000 SP=0xFFFF OP=0x20
[135] PC=0x0004 A=0x6B HL=0x0000 BC=0x690A DE=0x0000 SP=0xFFFF OP=0x0B
